Titulo,Es taller,Puntuacion
Curso de HR Agile: Scrum Project Management,False,0.0
Curso de HR Agile: Kanban Recruitment,False,0.0
Curso de Confluence: Funcionalidades y gestión documental,False,0.0
Curso de Angular en el mundo de la multiplataforma,False,5.0
¿Cómo generar un Web Service con Spring Boot?,True,4.67
Laboratorio de Servicios de Redes y Computación en Azure,False,0.0
Curso de Power Automate,False,4.5
Curso de Machine Learning no supervisado en Python,False,3.5
Curso de Jira: Funcionalidades y gestión de proyectos Agile,False,4.75
Laboratorio de Fundamentos de NestJS,False,0.0
Curso de Seguridad de red en el ámbito corporativo: Capas 3 y 7 del modelo OSI,False,5.0
Curso de Notion para tu gestión y documentación,False,5.0
"Laboratorio Crea una REST API con NestJS, PostgreSQL, MongoDB y Docker",False,0.0
Curso de Gamificación en entornos laborales,False,5.0
Curso de Videojuegos con Python y Pyglet,False,4.33
Curso de Automatizaciones de Selenium para Shadow Root,False,3.0
Curso de Machine Learning supervisado con Scikit-learn,False,4.67
Disciplina positiva: Cultura enfocada en soluciones,True,5.0
Curso de Seguridad de red en el ámbito corporativo: Capa 2 del modelo OSI,False,5.0
Disciplina positiva: Fortalece las relaciones de equipo y aumenta tus ganancias,True,5.0
Introducción a Next.js,True,4.0
Disciplina positiva: Convierte tu empresa en el lugar donde todo el mundo quiere trabajar,True,2.0
"Disciplina positiva: Empleados felices, resultados grandiosos",True,4.75
Disciplina positiva: Cultura de pertenencia y alto rendimiento,True,4.0
Disciplina positiva: Construye un mejor lugar de trabajo,True,4.56
¿Cuál es el mejor IDE para programar en Java?,True,4.25
Curso de Inbound Recruiting: Atrae a tus mejores candidatos,False,0.0
Mediación cómo estrategia de gestión de conflictos laborales,True,4.0
Curso BDD en Go,False,5.0
Aspectos de Scrum para fomentar el Bienestar laboral,True,5.0
Humanizar los procesos de selección para mejorar la experiencia del candidato,True,4.0
Gamificación aplicada: diseña tu propio proyecto,True,0.0
Ingredientes en la metodología Inbound Recruiting,True,0.0
Chief Happiness Officer: ¿Qué le puede ofrecer a tu equipo?,True,0.0
Conoce cómo lograr los hábitos que quieres,True,4.5
Curso TDD en Go,False,5.0
Curso Cisco CCNP Enterprise ENCOR Parte 2: Protocolo Spanning Tree y EtherChannel,False,0.0
Curso Cisco CCNP Enterprise ENCOR Parte 3: Fundamentos de enrutamiento IP,False,0.0
Azure Database para MariaDB,True,4.6
Curso Cisco CCNP Enterprise ENCOR Parte 4: EIGRP,False,0.0
Azure Synapse Analytics,True,4.0
TimeBlocking para tu organización,True,4.4
Azure Database para MySQL,True,4.0
Introducción a Cisco Packet Tracer,True,5.0
Prioriza tareas y no te hundas en la miseria,True,4.36
Curso Certificación Cisco CCNA 200-301 Parte 5: Fundamentos de seguridad,False,5.0
Curso Certificación Cisco CCNA 200-301 Parte 5.1: Prácticas de Fundamentos de seguridad,False,5.0
Curso Certificación Cisco CCNA 200-301 Parte 6: Automatización y programabilidad,False,5.0
Laboratorio Certificación Cisco CCNA 200-301 Parte 7: Simulación de examen,False,5.0
Curso de Administración del Servidor WildFly: Configuración avanzada,False,4.29
MVC con C# Core y Asp.net: Objeto DTO,True,3.8
MVC con C# Core y Asp.net: Backup,True,5.0
Curso de Administración del Servidor WildFly: Instalación y configuración inicial,False,4.5
Curso Cisco CCNP Enterprise ENCOR Parte 1: Fundamentos de redes,False,0.0
Laboratorio de Diseño de APIs,False,4.4
Curso Certificación Cisco CCNA 200-301 Parte 1.1: Prácticas de Fundamentos de redes,False,0.0
Curso Certificación Cisco CCNA 200-301 Parte 2.1: Prácticas de Acceso a la red,False,0.0
Curso Certificación Cisco CCNA 200-301 Parte 1: Fundamentos de redes,False,5.0
Curso Certificación Cisco CCNA 200-301 Parte 2: Acceso a la red,False,0.0
Curso Certificación Cisco CCNA 200-301 Parte 4: Servicios IP,False,0.0
Curso Certificación Cisco CCNA 200-301 Parte 3: Conectividad IP,False,5.0
Curso Certificación Cisco CCNA 200-301 Parte 3.1: Prácticas de Conectividad IP,False,0.0
Curso Certificación Cisco CCNA 200-301 Parte 4.1: Prácticas de Servicios IP,False,0.0
Curso Mi primera DApp,False,4.27
Curso de Smart Contracts y Solidity,False,4.32
Curso de Introducción al Esquema Nacional de Seguridad (ENS),False,4.32
"Laboratorio de Microsoft Project: Crea, optimiza y presenta un proyecto",False,4.0
Crea un JPA repository con Spring Boot y PostgreSQL,True,4.11
MVC con C# Core y Asp.net: Instalación de la plataforma,True,4.5
MVC con C# Core y Asp.net: Patrón MVC,True,4.55
Curso de Ciberseguridad en WordPress,False,4.36
Machine Learning con clasificadores lineales en Python,True,4.75
Laboratorio de Gestión del diseño de APIs y OpenAPI,False,5.0
Machine Learning con modelos basados en árboles en Python,True,5.0
WebAssembly en Go,True,4.86
HR Agile: The New Revolution,True,4.5
Curso de Storytelling y Visualización de datos,False,4.41
Curso de Ethereum desde cero,False,4.15
Herramientas y tecnologías básicas para ser un desarrollador de Blockchain,True,4.8
Representa tus datos de forma adecuada,True,4.73
Mejora visualmente tus informes en Power BI,True,4.57
Laboratorio de Introducción a la administración de sistemas NGINX,False,4.19
Creación de APIs REST en PHP sin frameworks,True,4.8
Curso UX Research: La investigación de usuario al servicio de la creación y optimización del producto digital,False,4.0
Curso de Android Jetpack Architecture,False,4.42
Curso de creación de interfaces de usuario con Jetpack Compose,False,4.44
Introduciendo una Capa de seguridad y contenido multimedia a nuestra API REST en PHP,True,4.67
Curso de Estrategias UX para la innovación de productos,False,3.57
Reducción de dimensionalidad para Machine Learning en Python,True,4.5
Laboratorio de Automatización de pruebas para Web Apps con Katalon Studio,False,4.5
Autenticación Biométrica con Android,True,5.0
Arquitectura Hexagonal con Django,True,5.0
Azure Data Factory,True,4.67
Curso Creación de APIs con FastAPI,False,4.08
Android Sleep API: Trackea cómo sueñas,True,5.0
Evaluación y diagnóstico de la Experiencia de Usuario de un producto digital a través de UX Research,True,3.5
Laboratorio de Instalación avanzada de servidores Linux,False,4.93
Curso de Implantación de una PMO,False,4.0
Obtención de insights para la creación y reelaboración de un producto digital a través de UX Research,True,4.5
Certificación PMP Parte 12: Otras áreas de trabajo,False,5.0
Certificación PMP Parte 13: Gestión de personas,False,4.67
Certificación PMP Parte 16: Consejos y tips para superar el test PMP,True,4.6
Certificación PMP Parte 17: Más consejos y tips para superar el test PMP,True,5.0
Certificación PMP Parte 15: Prerrequisitos e inscripción al PMP,True,4.75
Herramientas de Testing para Python,True,4.62
Certificación PMP Parte 14: Entorno de negocio,False,4.0
Migraciones con Django,True,5.0
Certificación PMP Parte 18: Entrenamiento para el test de PMP,True,5.0
Certificación PMP Parte 3: Cálculo de Rutas Críticas de proyecto,True,4.88
Certificación PMP Parte 4: Técnica del Valor ganado,True,4.77
Certificación PMP Parte 5: Introducción a Agile: Metodologías ágiles,False,4.62
Certificación PMP Parte 6: Visión del proyecto y generación del backlog,False,4.86
Certificación PMP Parte 7: Estimación y planificación ágil,False,4.67
Certificación PMP Parte 8: Kanban: Ejecución del proyecto,False,5.0
Certificación PMP Parte 9: Herramientas para escalado y liderazgo ágil,False,4.75
Certificación PMP Parte 10: Marco de gestión del proyecto,False,4.67
"Certificación PMP Parte 11: Gestión de tiempo, costes, alcance y recursos",False,0.0
Curso ITIL 4 Fundamentos Parte 1: Introducción y conceptos clave,False,4.83
Curso ITIL 4 Fundamentos Parte 2: Principios guía,False,4.75
Curso ITIL 4 Fundamentos Parte 3: Las 4 Dimensiones de la Gestión de Servicios,False,4.4
Curso ITIL 4 Fundamentos Parte 6: Introducción a las prácticas de ITIL,False,5.0
Taller ITIL 4 Fundamentos Parte 5: Flujo de valor,True,4.89
Curso ITIL 4 Fundamentos Parte 4: Sistema de Valor del Servicio,False,5.0
Curso ITIL 4 Fundamentos Parte 7: Ampliando Prácticas de ITIL,False,5.0
Certificación PMP Parte 1: Introducción al test de PMP,True,4.64
Certificación PMP Parte 2: Marco de procesos de gestión de proyectos,True,4.79
Debugging con PHP usando XDebug y Visual Studio Code,True,4.62
Crea una base de datos sin tocar SQL con TypeORM y Express,True,4.4
Escalares customizados y Enums en GraphQL,True,0.0
Crea una REST API escalable y sostenible con Typescript y Express,True,4.67
PostgreSQL en Azure,True,4.33
Gestión de bases de datos en la nube con Azure SQL,True,4.5
Observables con Subject en Angular,True,4.38
Curso de Power BI : Visualizaciones e informes,False,4.5
Curso de Casos prácticos: Certificación Excel Expert,False,4.0
Curso de certificación Excel Expert MO-201,False,5.0
Curso de Power BI Avanzado,False,4.16
Curso de Casos prácticos: Certificación PowerPoint Associate,False,4.67
Curso de Casos prácticos: Certificación Outlook Associate,False,5.0
Curso de certificación Outlook Associate MO-400,False,5.0
Curso de certificación PowerPoint Associate MO-300,False,4.0
Medición de eventos de Google Analytics con Google Tag Manager,True,4.67
"Mejora la seguridad de tu API con Typescript, Express y JWT",True,5.0
Desarrollo de WebServices SOAP con PHP,True,4.4
Curso de Patrones de diseño con JavaScript,False,3.62
Crea una aplicación con JavaScript utilizando Patrones de diseño,True,4.62
Curso de Patrones de diseño con JavaScript y asincronía,False,3.86
Curso de certificación Word Associate MO-100,False,0.0
Curso de Casos prácticos: Certificación Word Associate,False,4.5
Curso de certificación Word Expert MO-101,False,4.0
Curso de Casos prácticos: Certificación Word Expert MO-101,False,4.0
Curso de certificación Excel Associate MO-200,False,4.5
Curso de Casos prácticos: Certificación Excel Associate,False,4.0
AZ-500 Taller 6A: Implementar Azure Key Vault,True,4.0
AZ-500 Taller 6B: Segurizar el almacenamiento en Azure,True,0.0
Curso AZ-500 Parte 6: Datos y aplicaciones seguras,False,5.0
Curso AZ-500 Parte 7: Gestión de operaciones de seguridad,False,3.5
Laboratorio de Watson Discovery: Bots más inteligentes mediante búsquedas basadas en AI,False,4.2
AZ-500 Taller 7: Gestionar operaciones de seguridad en Azure,True,4.67
AZ-500 Taller 4B: Implementar Network Peering y NVA,True,0.0
Curso de Trucos de Excel,False,4.51
Laboratorio de Interpretación de imágenes mediante AI,False,4.0
Curso de Introducción a Google Analytics 4 (GA4),False,4.17
Curso de Trucos de Power BI,False,4.5
Introducción a la administración de BBDD con MySQL,True,4.35
Administración de BBDD con MySQL: Sentencias DDL y DML,True,4.67
Curso AZ-500 Parte 5: Seguridad del host y del contenedor,False,5.0
AZ-500 Taller 5B: Implementar Azure Disk Encription y Update Management,True,0.0
Administración de BBDD con MySQL: Procedimientos almacenados y relaciones,True,4.91
Creación de BBDD para eCommerce con MySQL,True,4.4
AZ-500 Taller 5A: Implementar ACR’s y AKS,True,5.0
AZ-500 Taller 1: Gestión de Azure Active Directory y Autenticación Multifactor,True,4.5
Curso AZ-500 Parte 2: Gobernanza empresarial y gestión de identidades híbridas,False,4.67
Curso AZ-500 Parte 1: Azure Active Directory,False,4.58
AZ-500 Taller 2: Sincronización de directorios con Azure,True,4.67
"AZ-500 Taller 3A: Azure RBAC, Azure Policy y Azure Locks",True,4.0
AZ-500 Taller 3B: Identidades privilegiadas e Identity Protection,True,5.0
"Curso AZ-500 Parte 3: Identity Protection, políticas y administración de identidades",False,4.5
AZ-500 Taller 4A: Implementar NSG’s y Azure Firewall,True,4.0
Curso AZ-500 Parte 4: Perímetro de seguridad y seguridad de la red,False,4.5
JavaScript con principios SOLID,True,4.7
Composer: Gestión de dependencias en PHP,True,4.33
Uso de IndexedDB como base de datos en el navegador,True,4.09
Curso de Principios de diseño SOLID,False,4.29
Curso de Desarrollo web con Jakarta Server Faces (JSF),False,4.59
Curso Crea un API Rest con Node JS y Express: Endpoint con Rest,False,4.55
Curso de Desarrollo web con Java EE/Jakarta EE,False,4.26
Curso de pruebas unitarias con Mockito,False,4.58
Curso Crea un API Rest con Node JS y Express: JWT y ficheros,False,4.42
Teletrabajo: Claves para una gestión eficaz,True,4.6
Curso de Encriptación punto a punto y securización de Nginx con Cloudflare,False,4.29
Curso de Testing en Java con JUnit 5,False,4.54
Gestión de tiempo: ¿Cómo hacer más y estresarnos menos?,True,4.42
Aprende a detectar tus estresores y manéjalos de forma positiva,True,4.53
Conecta Botium Box y Botium-CLI a tus bots y testéalos,True,4.5
Curso de Proyectos Java con Apache Maven,False,4.44
Curso de Web Components con LitElement,False,4.83
Curso de introducción al testing de bots con Botium,False,4.14
Vital Circus Feedback: Una nueva forma de retroalimentación,True,4.55
RASCI: La poderosa herramienta de comunicación para procesos y proyectos,True,4.55
Equipos operativos de alto desempeño,True,4.53
People Journey: Creación de experiencias hacia las personas dentro de la organización,True,4.23
"Curso de Desarrollo web con ASP.NET, SQL Server Y WCF",False,4.3
Curso Crea tu servidor web con Nginx sobre Linux (Debian),False,4.19
Consumo de WebServices SOAP con PHP,True,4.29
Curso de Introducción al diseño centrado en el usuario (UX),False,4.5
Migrar datos Microsoft Access/Excel a SQL Server con Integrations Services,True,4.77
Control de acceso con GraphQL,True,5.0
Teletrabajo y conciliación,True,4.48
Curso de Arquitectura Hexagonal (Ed. 2021),False,4.11
Curso GraphQL e implementación de APIs con Apollo,False,4.25
Comunicación en el equipo de trabajo,True,4.46
Crea una lista de tareas con Vue.JS,True,4.91
Desarrollo del potencial y autoestima del equipo de trabajo,True,4.48
Creencias limitantes y potenciadoras,True,4.0
Curso Manejo del estado con Redux y Angular en un eCommerce,False,4.22
Dashboards con Google Analytics,True,4.56
Curso de Asana: Configuración y funcionalidades,False,4.26
